external,year,test_1,dropout,outside_interaction,first_sessions
0,3,1,1,0.49374713303552,33
0,3,5,0,0.9618582242538603,148
1,1,1,0,1.188603893756857,94
1,1,1,0,1.4355862568167705,12
1,1,1,0,1.6499432459287842,7
0,3,5,0,0.6233782564898915,154
1,2,1,0,1.1584271847146277,34
1,2,5,0,0.2592622469087431,94
1,3,3,0,1.1058915068362716,148
1,2,1,1,0.5185244938174862,66
1,1,5,0,0.4413202516993173,98
1,1,5,0,1.2293282900951517,111
1,3,5,0,0.9852631942496766,84
1,2,5,0,0.35849906823657846,101
1,2,5,0,0.5239238420777494,63
0,2,2,0,1.2031148494270503,15
1,1,5,0,0.5357351236178111,89
0,3,4,1,1.4479749372077535,36
1,1,5,0,0.4502142660249405,88
0,2,2,0,1.4767792554638333,18
0,1,2,0,1.7823828400554407,29
1,2,5,0,0.3492825613851663,61
1,3,3,0,1.515163783438611,102
1,3,2,0,0.21965143793079475,39
0,1,2,0,1.081691544905227,20
1,1,5,0,0.653554965532121,20
0,2,5,0,0.6554998103417466,120
1,2,2,0,1.911905166967659,24
1,1,2,0,0.21785165517737368,146
1,1,5,0,0.6241481216244537,54
1,2,5,0,0.24687356651776,104
1,1,2,0,1.5375227522747374,38
1,1,1,0,1.22662861596502,91
0,3,5,0,0.3350940982407621,7
0,3,1,0,0.2764728767090679,8
1,2,2,0,0.661980377548976,61
0,3,4,0,0.8329132961925636,162
0,3,1,1,1.1058915068362716,21
0,3,5,0,0.4900025054724733,70
0,3,3,0,0.44671959995958055,102
0,3,2,0,2.3269031814567214,13
0,1,3,0,2.2143738912605215,121
0,3,1,0,1.2995432000826006,15
0,3,5,0,1.1762152133658739,134
1,1,5,0,0.29781306663972035,123
1,3,1,0,0.6239556553408132,88
1,3,1,1,0.5185244938174862,55
0,2,1,0,1.8345921283073365,26
0,2,2,0,1.2974209248033906,115
1,3,3,0,0.17644106344600424,106
1,1,1,1,0.7998193199358958,24
0,2,1,0,0.29098383237926106,14
1,1,2,0,1.0355678003066693,106
1,1,2,0,0.17644106344600424,115
0,1,1,0,1.588982156033573,112
0,3,1,1,0.7777867407262293,23
1,3,1,0,0.5736510492838205,161
1,3,5,0,0.0,87
1,1,2,0,1.3624540796148832,34
1,2,1,0,0.7176843318662318,95
0,3,1,0,0.3098168144634224,97
0,1,4,0,1.622826016783301,128
0,2,5,0,0.13513926825678818,9
1,3,1,0,1.2059233200993353,102
0,3,5,0,0.29098383237926106,18
0,3,4,1,0.48251325034638004,61
0,3,4,0,1.0727975305796038,124
1,3,2,0,0.3999096599679479,89
1,3,1,0,0.8060136601313874,87
0,3,1,0,0.29098383237926106,15
1,2,5,0,0.3962375634330035,98
1,1,5,0,1.1294052733742412,113
1,2,1,0,1.3056287437359388,76
1,2,1,1,0.9294504433902673,42
1,3,4,0,0.17924953411828923,7
1,2,2,0,0.7523231845511882,75
0,3,5,0,0.44401992582944894,10
0,3,4,1,0.6121443738007516,44
0,3,1,0,0.34679658323867024,20
1,2,5,0,1.4588824302704333,138
0,3,5,0,0.13513926825678818,19
1,3,4,0,0.2261682706520753,14
0,3,1,0,0.7679889379232245,69
1,2,5,0,0.24687356651776,92
1,3,5,0,0.44682839650173395,50
0,2,2,0,1.3507515946169748,20
1,3,4,0,0.7853083642657026,51
1,2,2,0,0.12963112345437156,95
0,3,3,0,1.2327141596183582,142
1,1,4,0,0.4633103715089937,62
1,2,2,0,0.08822053172300212,83
1,1,4,0,0.3708877486275616,86
0,2,2,0,1.9442041512890984,28
1,2,4,0,1.09757489136157,150
0,2,1,0,0.2764728767090679,5
1,2,4,0,0.9355359870436055,144
0,2,5,0,0.21165731498188212,14
1,1,3,0,0.3971011892956629,96
1,2,4,0,0.8708292218585731,88
1,3,1,0,0.7853083642657026,79
1,3,5,0,0.5860397296748037,164
1,3,5,0,0.32058314257056897,9
1,3,2,0,0.06481556172718578,70
0,3,2,0,1.766968095907866,8
0,3,2,0,0.8080784401965513,53
0,3,1,0,0.8859175763796878,162
0,2,1,0,1.3787609209378262,39
1,1,5,0,0.932150117520399,71
0,3,1,0,1.765172210255116,20
1,3,2,0,0.4295089701592558,172
1,1,2,0,0.4350171149616724,76
1,1,2,0,0.21785165517737368,87
1,3,3,1,0.49374713303552,70
1,1,4,0,0.19444668518155733,58
1,3,5,0,0.2736644060367829,188
0,3,1,0,0.244065095845475,14
1,3,5,0,1.026673785981046,166
0,1,2,0,1.5877185617895766,15
1,3,4,0,0.40891247083572446,99
0,2,2,0,1.7120591335258382,24
0,1,2,0,2.0007030975415825,31
1,2,5,0,0.6356581403387213,108
0,2,5,0,0.44401992582944894,8
0,1,2,0,1.9201129859002073,23
0,3,1,0,0.21165731498188212,25
1,2,1,0,1.4354774602746172,105
1,2,2,0,1.5947078939202965,8
0,3,5,0,0.35579939410644684,20
1,3,2,1,0.6233782564898915,20
0,3,2,0,0.0,104
0,3,5,0,0.25576758084338314,12
0,3,5,0,0.6907846958050556,67
1,3,1,0,0.3233916132428539,19
1,1,1,0,1.0645897116470555,37
1,1,3,0,1.0672893857771872,146
0,1,2,0,0.9762603833819,141
1,2,2,0,0.6673584961092441,100
0,2,1,1,0.3528821268920085,24
1,3,3,0,0.9231473066526223,98
1,1,2,0,0.8679119546441347,129
1,3,5,0,1.0086681642454929,84
1,2,2,0,0.27027853651357636,103
0,1,1,0,1.3622364865305763,69
1,3,2,0,0.0,145
1,3,2,0,0.5221240593243284,113
0,3,1,0,1.9829150688903363,14
1,3,2,0,0.3915930444932463,112
0,1,4,0,0.979068854054185,59
0,1,1,0,1.156196112893264,160
0,1,1,0,0.98187732472647,135
0,2,5,0,0.3088806575726608,16
1,1,4,0,0.42009999702420314,105
1,3,1,0,0.5377273726548726,14
0,3,5,0,0.3999096599679479,8
1,3,3,0,1.0789918707750954,99
0,2,5,0,0.44401992582944894,9
0,2,5,0,1.4471799452725251,136
1,3,5,0,0.13513926825678818,5
1,3,5,0,0.7707974085955094,71
0,2,5,0,1.265121940481951,143
1,1,1,1,0.2592622469087431,21
1,3,4,0,1.2293282900951517,113
1,3,5,0,1.3064237356711672,57
0,3,5,0,0.367501879104355,15
1,1,1,0,0.6590631103345377,46
1,1,4,0,1.1407813687456891,67
1,1,3,0,0.06481556172718578,93
1,1,3,0,0.3350940982407621,91
0,2,5,0,0.9735607092517684,128
1,3,5,0,1.9117963704255057,99
0,3,4,0,0.612289435856956,79
0,3,5,0,0.27027853651357636,18
0,3,2,0,0.8232242899317121,141
1,2,1,0,0.600285688033254,118
0,3,2,0,0.42009999702420314,174
0,3,5,0,0.367501879104355,15
1,2,5,0,0.9673663690562768,118
1,2,4,0,1.1231021366365963,143
1,3,4,0,0.7059818468683237,96
0,3,1,0,1.0500787559768623,168
1,3,3,0,0.3350940982407621,114
0,1,5,0,1.5561057728612122,131
0,3,4,0,0.21165731498188212,18
