external,year,test_1,dropout,outside_interaction,first_sessions
False,3,1,True,0.49374713303552,33
False,3,5,False,0.9618582242538603,148
True,1,1,False,1.188603893756857,94
True,1,1,False,1.4355862568167705,12
True,1,1,False,1.6499432459287842,7
False,3,5,False,0.6233782564898915,154
True,2,1,False,1.1584271847146277,34
True,2,5,False,0.2592622469087431,94
True,3,3,False,1.1058915068362716,148
True,2,1,True,0.5185244938174862,66
True,1,5,False,0.4413202516993173,98
True,1,5,False,1.2293282900951517,111
True,3,5,False,0.9852631942496766,84
True,2,5,False,0.35849906823657846,101
True,2,5,False,0.5239238420777494,63
False,2,2,False,1.2031148494270503,15
True,1,5,False,0.5357351236178111,89
False,3,4,True,1.4479749372077535,36
True,1,5,False,0.4502142660249405,88
False,2,2,False,1.4767792554638333,18
False,1,2,False,1.7823828400554407,29
True,2,5,False,0.3492825613851663,61
True,3,3,False,1.515163783438611,102
True,3,2,False,0.21965143793079475,39
False,1,2,False,1.081691544905227,20
True,1,5,False,0.653554965532121,20
False,2,5,False,0.6554998103417466,120
True,2,2,False,1.911905166967659,24
True,1,2,False,0.21785165517737368,146
True,1,5,False,0.6241481216244537,54
True,2,5,False,0.24687356651776,104
True,1,2,False,1.5375227522747374,38
True,1,1,False,1.22662861596502,91
False,3,5,False,0.3350940982407621,7
False,3,1,False,0.2764728767090679,8
True,2,2,False,0.661980377548976,61
False,3,4,False,0.8329132961925636,162
False,3,1,True,1.1058915068362716,21
False,3,5,False,0.4900025054724733,70
False,3,3,False,0.44671959995958055,102
False,3,2,False,2.3269031814567214,13
False,1,3,False,2.2143738912605215,121
False,3,1,False,1.2995432000826006,15
False,3,5,False,1.1762152133658739,134
True,1,5,False,0.29781306663972035,123
True,3,1,False,0.6239556553408132,88
True,3,1,True,0.5185244938174862,55
False,2,1,False,1.8345921283073365,26
False,2,2,False,1.2974209248033906,115
True,3,3,False,0.17644106344600424,106
True,1,1,True,0.7998193199358958,24
False,2,1,False,0.29098383237926106,14
True,1,2,False,1.0355678003066693,106
True,1,2,False,0.17644106344600424,115
False,1,1,False,1.588982156033573,112
False,3,1,True,0.7777867407262293,23
True,3,1,False,0.5736510492838205,161
True,3,5,False,0.0,87
True,1,2,False,1.3624540796148832,34
True,2,1,False,0.7176843318662318,95
False,3,1,False,0.3098168144634224,97
False,1,4,False,1.622826016783301,128
False,2,5,False,0.13513926825678818,9
True,3,1,False,1.2059233200993353,102
False,3,5,False,0.29098383237926106,18
False,3,4,True,0.48251325034638004,61
False,3,4,False,1.0727975305796038,124
True,3,2,False,0.3999096599679479,89
True,3,1,False,0.8060136601313874,87
False,3,1,False,0.29098383237926106,15
True,2,5,False,0.3962375634330035,98
True,1,5,False,1.1294052733742412,113
True,2,1,False,1.3056287437359388,76
True,2,1,True,0.9294504433902673,42
True,3,4,False,0.17924953411828923,7
True,2,2,False,0.7523231845511882,75
False,3,5,False,0.44401992582944894,10
False,3,4,True,0.6121443738007516,44
False,3,1,False,0.34679658323867024,20
True,2,5,False,1.4588824302704333,138
False,3,5,False,0.13513926825678818,19
True,3,4,False,0.2261682706520753,14
False,3,1,False,0.7679889379232245,69
True,2,5,False,0.24687356651776,92
True,3,5,False,0.44682839650173395,50
False,2,2,False,1.3507515946169748,20
True,3,4,False,0.7853083642657026,51
True,2,2,False,0.12963112345437156,95
False,3,3,False,1.2327141596183582,142
True,1,4,False,0.4633103715089937,62
True,2,2,False,0.08822053172300212,83
True,1,4,False,0.3708877486275616,86
False,2,2,False,1.9442041512890984,28
True,2,4,False,1.09757489136157,150
False,2,1,False,0.2764728767090679,5
True,2,4,False,0.9355359870436055,144
False,2,5,False,0.21165731498188212,14
True,1,3,False,0.3971011892956629,96
True,2,4,False,0.8708292218585731,88
True,3,1,False,0.7853083642657026,79
True,3,5,False,0.5860397296748037,164
True,3,5,False,0.32058314257056897,9
True,3,2,False,0.06481556172718578,70
False,3,2,False,1.766968095907866,8
False,3,2,False,0.8080784401965513,53
False,3,1,False,0.8859175763796878,162
False,2,1,False,1.3787609209378262,39
True,1,5,False,0.932150117520399,71
False,3,1,False,1.765172210255116,20
True,3,2,False,0.4295089701592558,172
True,1,2,False,0.4350171149616724,76
True,1,2,False,0.21785165517737368,87
True,3,3,True,0.49374713303552,70
True,1,4,False,0.19444668518155733,58
True,3,5,False,0.2736644060367829,188
False,3,1,False,0.244065095845475,14
