external,year,test_1,session_3,session_4,test_2,dropout,outside_interaction,first_sessions
0,3,5,40.0,67.0,5.0,0,1.9237164485077205,148
1,1,1,76.0,77.0,5.0,0,2.377207787513714,94
1,1,1,46.0,36.0,3.0,0,2.871172513633541,12
1,1,1,23.0,33.0,2.0,0,3.2998864918575683,7
0,3,5,15.0,69.0,1.0,0,1.246756512979783,154
1,2,1,22.0,40.0,3.0,0,2.3168543694292554,34
1,2,5,28.0,10.0,2.0,1,0.5185244938174862,94
1,3,3,50.0,52.0,1.0,1,2.211783013672543,148
1,1,5,48.0,47.0,2.0,1,0.8826405033986346,98
1,1,5,91.0,25.0,3.0,0,2.4586565801903033,111
1,3,5,93.0,35.0,5.0,0,1.9705263884993531,84
1,2,5,10.0,22.0,2.0,0,0.7169981364731569,101
1,2,5,39.0,51.0,5.0,0,1.047847684155499,63
0,2,2,22.0,31.0,1.0,0,2.4062296988541005,15
1,1,5,50.0,62.0,2.0,0,1.0714702472356221,89
1,1,5,88.0,55.0,1.0,0,0.900428532049881,88
0,2,2,57.0,49.0,2.0,0,2.9535585109276665,18
0,1,2,36.0,51.0,2.0,0,3.5647656801108814,29
1,2,5,17.0,31.0,2.0,0,0.6985651227703326,61
1,3,3,68.0,41.0,4.0,0,3.030327566877222,102
1,3,2,35.0,62.0,4.0,0,0.4393028758615895,39
0,1,2,31.0,46.0,3.0,0,2.163383089810454,20
1,1,5,4.0,83.0,1.0,0,1.307109931064242,20
0,2,5,73.0,43.0,5.0,0,1.3109996206834933,120
1,2,2,43.0,35.0,4.0,0,3.823810333935318,24
1,1,2,68.0,82.0,2.0,1,0.43570331035474735,146
1,1,5,89.0,83.0,3.0,0,1.2482962432489073,54
1,2,5,66.0,11.0,1.0,1,0.49374713303552,104
1,1,2,35.0,39.0,3.0,0,3.075045504549475,38
1,1,1,66.0,54.0,3.0,0,2.45325723193004,91
0,3,5,3.0,39.0,5.0,0,0.6701881964815242,7
0,3,1,4.0,49.0,2.0,0,0.5529457534181358,8
1,2,2,70.0,5.0,2.0,0,1.323960755097952,61
0,3,4,82.0,41.0,3.0,0,1.6658265923851272,162
0,3,5,50.0,20.0,3.0,0,0.9800050109449466,70
0,3,3,64.0,9.0,1.0,1,0.8934391999191611,102
0,3,2,59.0,34.0,1.0,0,4.653806362913443,13
0,1,3,11.0,7.0,1.0,0,4.428747782521043,121
0,3,1,50.0,42.0,2.0,0,2.599086400165201,15
0,3,5,89.0,4.0,5.0,0,2.3524304267317477,134
1,1,5,81.0,0.0,3.0,0,0.5956261332794407,123
1,3,1,76.0,46.0,4.0,0,1.2479113106816264,88
0,2,1,26.0,47.0,1.0,0,3.669184256614673,26
0,2,2,11.0,97.0,5.0,0,2.594841849606781,115
1,3,3,27.0,16.0,1.0,1,0.3528821268920085,106
0,2,1,11.0,26.0,2.0,0,0.5819676647585221,14
1,1,2,75.0,56.0,4.0,0,2.0711356006133386,106
1,1,2,43.0,20.0,1.0,1,0.3528821268920085,115
0,1,1,8.0,68.0,2.0,0,3.177964312067146,112
1,3,1,67.0,51.0,4.0,0,1.147302098567641,161
1,3,5,52.0,13.0,1.0,1,0.0,87
1,1,2,41.0,33.0,1.0,0,2.7249081592297664,34
1,2,1,62.0,55.0,5.0,0,1.4353686637324636,95
0,3,1,20.0,30.0,5.0,0,0.6196336289268448,97
0,1,4,14.0,56.0,1.0,0,3.245652033566602,128
0,2,5,11.0,8.0,4.0,0,0.27027853651357636,9
1,3,1,88.0,41.0,4.0,0,2.4118466401986707,102
0,3,5,8.0,40.0,3.0,0,0.5819676647585221,18
0,3,4,67.0,55.0,2.0,0,2.1455950611592076,124
1,3,2,17.0,30.0,1.0,1,0.7998193199358958,89
1,3,1,81.0,98.0,2.0,0,1.6120273202627748,87
0,3,1,3.0,21.0,5.0,0,0.5819676647585221,15
1,2,5,14.0,16.0,5.0,0,0.792475126866007,98
1,1,5,88.0,64.0,3.0,0,2.2588105467484825,113
1,2,1,43.0,33.0,3.0,0,2.6112574874718777,76
1,3,4,13.0,22.0,4.0,0,0.35849906823657846,7
1,2,2,80.0,94.0,4.0,0,1.5046463691023764,75
0,3,5,5.0,55.0,4.0,0,0.8880398516588979,10
0,3,1,8.0,32.0,3.0,0,0.6935931664773405,20
1,2,5,58.0,24.0,2.0,0,2.9177648605408666,138
0,3,5,5.0,55.0,4.0,0,0.27027853651357636,19
1,3,4,6.0,16.0,3.0,0,0.4523365413041506,14
0,3,1,43.0,16.0,5.0,0,1.535977875846449,69
1,2,5,64.0,4.0,1.0,1,0.49374713303552,92
1,3,5,99.0,52.0,1.0,0,0.8936567930034679,50
0,2,2,22.0,44.0,2.0,0,2.7015031892339496,20
1,3,4,66.0,71.0,1.0,0,1.5706167285314052,51
1,2,2,44.0,12.0,1.0,1,0.2592622469087431,95
0,3,3,84.0,74.0,5.0,0,2.4654283192367163,142
1,1,4,68.0,67.0,4.0,0,0.9266207430179874,62
1,2,2,19.0,42.0,1.0,1,0.17644106344600424,83
1,1,4,69.0,27.0,4.0,0,0.7417754972551232,86
0,2,2,53.0,42.0,2.0,0,3.888408302578197,28
1,2,4,83.0,94.0,1.0,0,2.19514978272314,150
0,2,1,12.0,34.0,1.0,0,0.5529457534181358,5
1,2,4,52.0,14.0,5.0,0,1.871071974087211,144
0,2,5,5.0,22.0,2.0,0,0.42331462996376423,14
1,1,3,88.0,55.0,3.0,0,0.7942023785913258,96
1,2,4,61.0,37.0,5.0,0,1.7416584437171463,88
1,3,1,64.0,27.0,4.0,0,1.5706167285314052,79
1,3,5,35.0,47.0,5.0,0,1.1720794593496073,164
1,3,5,1.0,18.0,2.0,0,0.6411662851411379,9
1,3,2,21.0,50.0,1.0,1,0.12963112345437156,70
0,3,2,20.0,51.0,2.0,0,3.533936191815732,8
0,3,2,48.0,49.0,4.0,0,1.6161568803931026,53
0,3,1,81.0,86.0,2.0,0,1.7718351527593756,162
0,2,1,46.0,37.0,4.0,0,2.7575218418756524,39
1,1,5,95.0,75.0,5.0,0,1.864300235040798,71
0,3,1,53.0,31.0,3.0,0,3.530344420510232,20
1,3,2,29.0,55.0,3.0,0,0.8590179403185116,172
1,1,2,15.0,43.0,5.0,0,0.8700342299233448,76
1,1,2,7.0,44.0,2.0,1,0.43570331035474735,87
1,1,4,2.0,42.0,1.0,1,0.38889337036311467,58
1,3,5,47.0,6.0,3.0,0,0.5473288120735658,188
0,3,1,4.0,37.0,3.0,0,0.48813019169095,14
1,3,5,43.0,28.0,1.0,0,2.053347571962092,166
0,1,2,44.0,30.0,2.0,0,3.175437123579153,15
1,3,4,30.0,64.0,3.0,0,0.8178249416714489,99
0,2,2,28.0,31.0,1.0,0,3.4241182670516763,24
0,1,2,55.0,47.0,4.0,0,4.001406195083165,31
1,2,5,8.0,85.0,1.0,0,1.2713162806774425,108
0,2,5,4.0,55.0,1.0,0,0.8880398516588979,8
0,1,2,22.0,46.0,2.0,0,3.8402259718004146,23
0,3,1,2.0,37.0,5.0,0,0.42331462996376423,25
1,2,1,73.0,99.0,4.0,0,2.8709549205492344,105
1,2,2,53.0,33.0,2.0,0,3.189415787840593,8
0,3,5,1.0,41.0,2.0,0,0.7115987882128937,20
0,3,2,93.0,29.0,5.0,0,0.0,104
0,3,5,6.0,46.0,5.0,0,0.5115351616867663,12
0,3,5,99.0,70.0,4.0,0,1.3815693916101113,67
1,3,1,3.0,33.0,3.0,0,0.6467832264857079,19
1,1,1,58.0,47.0,3.0,0,2.129179423294111,37
1,1,3,51.0,84.0,5.0,0,2.1345787715543745,146
0,1,2,61.0,66.0,5.0,1,1.9525207667638,141
1,2,2,34.0,76.0,2.0,0,1.3347169922184883,100
1,3,3,50.0,55.0,4.0,0,1.8462946133052447,98
1,1,2,89.0,67.0,5.0,0,1.7358239092882695,129
1,3,5,50.0,55.0,4.0,0,2.0173363284909858,84
1,2,2,62.0,4.0,1.0,1,0.5405570730271527,103
0,1,1,32.0,48.0,3.0,0,2.7244729730611525,69
1,3,2,48.0,11.0,3.0,0,0.0,145
1,3,2,1.0,30.0,4.0,0,1.0442481186486567,113
0,3,1,46.0,45.0,2.0,0,3.9658301377806726,14
1,3,2,19.0,13.0,3.0,0,0.7831860889864926,112
0,1,4,51.0,53.0,3.0,0,1.95813770810837,59
0,1,1,82.0,55.0,1.0,0,2.312392225786528,160
0,1,1,28.0,7.0,2.0,0,1.96375464945294,135
0,2,5,8.0,16.0,1.0,0,0.6177613151453216,16
1,1,4,2.0,9.0,4.0,0,0.8401999940484063,105
1,3,1,40.0,28.0,1.0,0,1.0754547453097452,14
0,3,5,2.0,11.0,3.0,0,0.7998193199358958,8
1,3,3,64.0,64.0,3.0,0,2.157983741550191,99
0,2,5,3.0,44.0,3.0,0,0.8880398516588979,9
0,2,5,79.0,71.0,2.0,0,2.8943598905450503,136
1,3,5,12.0,54.0,2.0,0,0.27027853651357636,5
1,3,5,50.0,78.0,3.0,0,1.5415948171910188,71
0,2,5,81.0,18.0,2.0,0,2.530243880963902,143
1,3,4,61.0,33.0,4.0,0,2.4586565801903033,113
1,3,5,17.0,65.0,1.0,0,2.6128474713423344,57
0,3,5,7.0,42.0,4.0,0,0.73500375820871,15
1,1,1,54.0,4.0,5.0,0,1.3181262206690754,46
1,1,4,20.0,63.0,2.0,0,2.2815627374913783,67
1,1,3,32.0,2.0,1.0,1,0.12963112345437156,93
1,1,3,43.0,16.0,1.0,1,0.6701881964815242,91
0,2,5,65.0,40.0,5.0,0,1.9471214185035368,128
1,3,5,59.0,17.0,5.0,0,3.8235927408510113,99
0,3,4,18.0,77.0,4.0,0,1.224578871713912,79
0,3,5,1.0,48.0,2.0,0,0.5405570730271527,18
0,3,2,71.0,60.0,5.0,0,1.6464485798634243,141
1,2,1,34.0,30.0,2.0,0,1.200571376066508,118
0,3,2,27.0,62.0,3.0,0,0.8401999940484063,174
0,3,5,9.0,14.0,1.0,0,0.73500375820871,15
1,2,5,95.0,72.0,4.0,0,1.9347327381125536,118
1,2,4,42.0,34.0,4.0,0,2.2462042732731926,143
1,3,4,72.0,68.0,5.0,0,1.4119636937366473,96
0,3,1,70.0,37.0,3.0,0,2.1001575119537246,168
1,3,3,41.0,1.0,1.0,1,0.6701881964815242,114
0,1,5,72.0,4.0,2.0,0,3.1122115457224244,131
0,3,4,12.0,8.0,4.0,0,0.42331462996376423,18
1,2,4,8.0,43.0,3.0,0,0.7998193199358958,19
0,3,1,13.0,53.0,1.0,0,0.5115351616867663,15
1,1,1,30.0,38.0,2.0,0,2.4460503067150134,24
0,3,5,45.0,61.0,2.0,1,1.1774788076098703,118
1,3,1,18.0,48.0,2.0,0,2.4420233492409,176
1,3,5,66.0,69.0,3.0,0,1.71825347372133,46
0,1,2,31.0,48.0,4.0,0,2.774372665909362,14
0,2,5,78.0,82.0,3.0,0,2.0173363284909858,96
0,2,2,90.0,53.0,2.0,0,3.481509310479529,90
1,2,2,31.0,17.0,1.0,1,0.8826405033986346,100
1,3,3,22.0,26.0,5.0,0,0.35288212689200843,86
1,3,5,14.0,58.0,3.0,0,3.1878258039701364,85
1,1,3,37.0,40.0,2.0,0,1.406564345476384,115
0,1,1,41.0,50.0,4.0,0,2.5882877036446748,18
1,3,4,40.0,92.0,3.0,0,1.4009474041318142,160
0,2,5,8.0,55.0,5.0,0,0.48813019169095,14
0,2,2,31.0,52.0,1.0,0,2.069980802911495,15
1,3,3,54.0,68.0,2.0,0,2.1593561323363404,136
1,3,1,20.0,47.0,3.0,0,2.9510313224396736,97
1,3,2,40.0,24.0,5.0,0,1.7524571402376727,167
