external,year,test_1,session_3,session_4,test_2,dropout,outside_interaction,first_sessions
False,3,5,40.0,67.0,5.0,False,1.9237164485077205,148
True,1,1,76.0,77.0,5.0,False,2.377207787513714,94
True,1,1,46.0,36.0,3.0,False,2.871172513633541,12
True,1,1,23.0,33.0,2.0,False,3.2998864918575683,7
False,3,5,15.0,69.0,1.0,False,1.246756512979783,154
True,2,1,22.0,40.0,3.0,False,2.3168543694292554,34
True,2,5,28.0,10.0,2.0,True,0.5185244938174862,94
True,3,3,50.0,52.0,1.0,True,2.211783013672543,148
True,1,5,48.0,47.0,2.0,True,0.8826405033986346,98
True,1,5,91.0,25.0,3.0,False,2.4586565801903033,111
True,3,5,93.0,35.0,5.0,False,1.9705263884993531,84
True,2,5,10.0,22.0,2.0,False,0.7169981364731569,101
True,2,5,39.0,51.0,5.0,False,1.047847684155499,63
False,2,2,22.0,31.0,1.0,False,2.4062296988541005,15
True,1,5,50.0,62.0,2.0,False,1.0714702472356221,89
True,1,5,88.0,55.0,1.0,False,0.900428532049881,88
False,2,2,57.0,49.0,2.0,False,2.9535585109276665,18
False,1,2,36.0,51.0,2.0,False,3.5647656801108814,29
True,2,5,17.0,31.0,2.0,False,0.6985651227703326,61
True,3,3,68.0,41.0,4.0,False,3.030327566877222,102
True,3,2,35.0,62.0,4.0,False,0.4393028758615895,39
False,1,2,31.0,46.0,3.0,False,2.163383089810454,20
True,1,5,4.0,83.0,1.0,False,1.307109931064242,20
False,2,5,73.0,43.0,5.0,False,1.3109996206834933,120
True,2,2,43.0,35.0,4.0,False,3.823810333935318,24
True,1,2,68.0,82.0,2.0,True,0.43570331035474735,146
True,1,5,89.0,83.0,3.0,False,1.2482962432489073,54
True,2,5,66.0,11.0,1.0,True,0.49374713303552,104
True,1,2,35.0,39.0,3.0,False,3.075045504549475,38
True,1,1,66.0,54.0,3.0,False,2.45325723193004,91
False,3,5,3.0,39.0,5.0,False,0.6701881964815242,7
False,3,1,4.0,49.0,2.0,False,0.5529457534181358,8
True,2,2,70.0,5.0,2.0,False,1.323960755097952,61
False,3,4,82.0,41.0,3.0,False,1.6658265923851272,162
False,3,5,50.0,20.0,3.0,False,0.9800050109449466,70
False,3,3,64.0,9.0,1.0,True,0.8934391999191611,102
False,3,2,59.0,34.0,1.0,False,4.653806362913443,13
False,1,3,11.0,7.0,1.0,False,4.428747782521043,121
False,3,1,50.0,42.0,2.0,False,2.599086400165201,15
False,3,5,89.0,4.0,5.0,False,2.3524304267317477,134
True,1,5,81.0,0.0,3.0,False,0.5956261332794407,123
True,3,1,76.0,46.0,4.0,False,1.2479113106816264,88
False,2,1,26.0,47.0,1.0,False,3.669184256614673,26
False,2,2,11.0,97.0,5.0,False,2.594841849606781,115
True,3,3,27.0,16.0,1.0,True,0.3528821268920085,106
False,2,1,11.0,26.0,2.0,False,0.5819676647585221,14
True,1,2,75.0,56.0,4.0,False,2.0711356006133386,106
True,1,2,43.0,20.0,1.0,True,0.3528821268920085,115
False,1,1,8.0,68.0,2.0,False,3.177964312067146,112
True,3,1,67.0,51.0,4.0,False,1.147302098567641,161
True,3,5,52.0,13.0,1.0,True,0.0,87
True,1,2,41.0,33.0,1.0,False,2.7249081592297664,34
True,2,1,62.0,55.0,5.0,False,1.4353686637324636,95
False,3,1,20.0,30.0,5.0,False,0.6196336289268448,97
False,1,4,14.0,56.0,1.0,False,3.245652033566602,128
False,2,5,11.0,8.0,4.0,False,0.27027853651357636,9
True,3,1,88.0,41.0,4.0,False,2.4118466401986707,102
False,3,5,8.0,40.0,3.0,False,0.5819676647585221,18
False,3,4,67.0,55.0,2.0,False,2.1455950611592076,124
True,3,2,17.0,30.0,1.0,True,0.7998193199358958,89
True,3,1,81.0,98.0,2.0,False,1.6120273202627748,87
False,3,1,3.0,21.0,5.0,False,0.5819676647585221,15
True,2,5,14.0,16.0,5.0,False,0.792475126866007,98
True,1,5,88.0,64.0,3.0,False,2.2588105467484825,113
True,2,1,43.0,33.0,3.0,False,2.6112574874718777,76
True,3,4,13.0,22.0,4.0,False,0.35849906823657846,7
True,2,2,80.0,94.0,4.0,False,1.5046463691023764,75
False,3,5,5.0,55.0,4.0,False,0.8880398516588979,10
False,3,1,8.0,32.0,3.0,False,0.6935931664773405,20
True,2,5,58.0,24.0,2.0,False,2.9177648605408666,138
False,3,5,5.0,55.0,4.0,False,0.27027853651357636,19
True,3,4,6.0,16.0,3.0,False,0.4523365413041506,14
False,3,1,43.0,16.0,5.0,False,1.535977875846449,69
True,2,5,64.0,4.0,1.0,True,0.49374713303552,92
True,3,5,99.0,52.0,1.0,False,0.8936567930034679,50
False,2,2,22.0,44.0,2.0,False,2.7015031892339496,20
True,3,4,66.0,71.0,1.0,False,1.5706167285314052,51
True,2,2,44.0,12.0,1.0,True,0.2592622469087431,95
False,3,3,84.0,74.0,5.0,False,2.4654283192367163,142
True,1,4,68.0,67.0,4.0,False,0.9266207430179874,62
True,2,2,19.0,42.0,1.0,True,0.17644106344600424,83
True,1,4,69.0,27.0,4.0,False,0.7417754972551232,86
False,2,2,53.0,42.0,2.0,False,3.888408302578197,28
True,2,4,83.0,94.0,1.0,False,2.19514978272314,150
False,2,1,12.0,34.0,1.0,False,0.5529457534181358,5
True,2,4,52.0,14.0,5.0,False,1.871071974087211,144
False,2,5,5.0,22.0,2.0,False,0.42331462996376423,14
True,1,3,88.0,55.0,3.0,False,0.7942023785913258,96
True,2,4,61.0,37.0,5.0,False,1.7416584437171463,88
True,3,1,64.0,27.0,4.0,False,1.5706167285314052,79
True,3,5,35.0,47.0,5.0,False,1.1720794593496073,164
True,3,5,1.0,18.0,2.0,False,0.6411662851411379,9
True,3,2,21.0,50.0,1.0,True,0.12963112345437156,70
False,3,2,20.0,51.0,2.0,False,3.533936191815732,8
False,3,2,48.0,49.0,4.0,False,1.6161568803931026,53
False,3,1,81.0,86.0,2.0,False,1.7718351527593756,162
False,2,1,46.0,37.0,4.0,False,2.7575218418756524,39
True,1,5,95.0,75.0,5.0,False,1.864300235040798,71
False,3,1,53.0,31.0,3.0,False,3.530344420510232,20
True,3,2,29.0,55.0,3.0,False,0.8590179403185116,172
True,1,2,15.0,43.0,5.0,False,0.8700342299233448,76
True,1,2,7.0,44.0,2.0,True,0.43570331035474735,87
True,1,4,2.0,42.0,1.0,True,0.38889337036311467,58
True,3,5,47.0,6.0,3.0,False,0.5473288120735658,188
False,3,1,4.0,37.0,3.0,False,0.48813019169095,14
True,3,5,43.0,28.0,1.0,False,2.053347571962092,166
False,1,2,44.0,30.0,2.0,False,3.175437123579153,15
True,3,4,30.0,64.0,3.0,False,0.8178249416714489,99
False,2,2,28.0,31.0,1.0,False,3.4241182670516763,24
False,1,2,55.0,47.0,4.0,False,4.001406195083165,31
True,2,5,8.0,85.0,1.0,False,1.2713162806774425,108
False,2,5,4.0,55.0,1.0,False,0.8880398516588979,8
False,1,2,22.0,46.0,2.0,False,3.8402259718004146,23
False,3,1,2.0,37.0,5.0,False,0.42331462996376423,25
True,2,1,73.0,99.0,4.0,False,2.8709549205492344,105
True,2,2,53.0,33.0,2.0,False,3.189415787840593,8
False,3,5,1.0,41.0,2.0,False,0.7115987882128937,20
False,3,2,93.0,29.0,5.0,False,0.0,104
False,3,5,6.0,46.0,5.0,False,0.5115351616867663,12
False,3,5,99.0,70.0,4.0,False,1.3815693916101113,67
True,3,1,3.0,33.0,3.0,False,0.6467832264857079,19
True,1,1,58.0,47.0,3.0,False,2.129179423294111,37
True,1,3,51.0,84.0,5.0,False,2.1345787715543745,146
False,1,2,61.0,66.0,5.0,True,1.9525207667638,141
True,2,2,34.0,76.0,2.0,False,1.3347169922184883,100
True,3,3,50.0,55.0,4.0,False,1.8462946133052447,98
True,1,2,89.0,67.0,5.0,False,1.7358239092882695,129
True,3,5,50.0,55.0,4.0,False,2.0173363284909858,84
True,2,2,62.0,4.0,1.0,True,0.5405570730271527,103
False,1,1,32.0,48.0,3.0,False,2.7244729730611525,69
True,3,2,48.0,11.0,3.0,False,0.0,145
True,3,2,1.0,30.0,4.0,False,1.0442481186486567,113
False,3,1,46.0,45.0,2.0,False,3.9658301377806726,14
