external,year,test_1,session_3,session_4,test_2,session_5,test_3,dropout,outside_interaction,first_sessions
False,3,5,40.0,67.0,5.0,69.0,5.0,False,2.8855746727615808,148
True,1,1,76.0,77.0,5.0,35.0,1.0,False,3.565811681270571,94
True,1,1,46.0,36.0,3.0,93.0,4.0,False,4.306758770450312,12
True,1,1,23.0,33.0,2.0,90.0,3.0,False,4.949829737786352,7
False,3,5,15.0,69.0,1.0,67.0,1.0,True,1.8701347694696746,154
True,2,1,22.0,40.0,3.0,72.0,4.0,False,3.475281554143883,34
True,1,5,91.0,25.0,3.0,47.0,4.0,False,3.687984870285455,111
True,3,5,93.0,35.0,5.0,48.0,3.0,False,2.9557895827490297,84
True,2,5,10.0,22.0,2.0,1.0,4.0,False,1.0754972047097353,101
True,2,5,39.0,51.0,5.0,32.0,1.0,False,1.5717715262332483,63
False,2,2,22.0,31.0,1.0,47.0,3.0,False,3.609344548281151,15
True,1,5,50.0,62.0,2.0,23.0,1.0,False,1.6072053708534333,89
True,1,5,88.0,55.0,1.0,40.0,2.0,False,1.3506427980748215,88
False,2,2,57.0,49.0,2.0,64.0,3.0,False,4.430337766391499,18
False,1,2,36.0,51.0,2.0,64.0,3.0,False,5.347148520166322,29
True,2,5,17.0,31.0,2.0,46.0,2.0,True,1.047847684155499,61
True,3,3,68.0,41.0,4.0,10.0,1.0,False,4.5454913503158325,102
True,3,2,35.0,62.0,4.0,51.0,2.0,True,0.6589543137923842,39
False,1,2,31.0,46.0,3.0,78.0,3.0,False,3.2450746347156807,20
True,1,5,4.0,83.0,1.0,19.0,2.0,False,1.960664896596363,20
False,2,5,73.0,43.0,5.0,56.0,2.0,True,1.96649943102524,120
True,2,2,43.0,35.0,4.0,94.0,3.0,False,5.735715500902977,24
True,1,5,89.0,83.0,3.0,48.0,1.0,True,1.872444364873361,54
True,1,2,35.0,39.0,3.0,47.0,2.0,False,4.612568256824212,38
True,1,1,66.0,54.0,3.0,14.0,5.0,False,3.6798858478950596,91
False,3,5,3.0,39.0,5.0,33.0,5.0,False,1.0052822947222864,7
False,3,1,4.0,49.0,2.0,33.0,4.0,False,0.8294186301272037,8
True,2,2,70.0,5.0,2.0,64.0,3.0,False,1.985941132646928,61
False,3,4,82.0,41.0,3.0,65.0,1.0,False,2.498739888577691,162
False,3,5,50.0,20.0,3.0,79.0,1.0,True,1.47000751641742,70
False,3,2,59.0,34.0,1.0,49.0,5.0,False,6.980709544370164,13
False,1,3,11.0,7.0,1.0,10.0,3.0,False,6.643121673781565,121
False,3,1,50.0,42.0,2.0,70.0,2.0,False,3.898629600247802,15
False,3,5,89.0,4.0,5.0,47.0,5.0,False,3.5286456400976216,134
True,1,5,81.0,0.0,3.0,43.0,1.0,True,0.8934391999191611,123
True,3,1,76.0,46.0,4.0,2.0,2.0,False,1.8718669660224396,88
False,2,1,26.0,47.0,1.0,97.0,3.0,False,5.503776384922009,26
False,2,2,11.0,97.0,5.0,74.0,3.0,False,3.8922627744101717,115
False,2,1,11.0,26.0,2.0,34.0,2.0,False,0.8729514971377832,14
True,1,2,75.0,56.0,4.0,41.0,5.0,False,3.106703400920008,106
False,1,1,8.0,68.0,2.0,88.0,4.0,False,4.766946468100719,112
True,3,1,67.0,51.0,4.0,31.0,5.0,False,1.7209531478514615,161
True,1,2,41.0,33.0,1.0,51.0,4.0,False,4.0873622388446496,34
True,2,1,62.0,55.0,5.0,45.0,2.0,False,2.1530529955986957,95
False,3,1,20.0,30.0,5.0,83.0,1.0,True,0.9294504433902673,97
False,1,4,14.0,56.0,1.0,16.0,3.0,False,4.868478050349903,128
False,2,5,11.0,8.0,4.0,40.0,4.0,False,0.40541780477036454,9
True,3,1,88.0,41.0,4.0,57.0,4.0,False,3.617769960298006,102
False,3,5,8.0,40.0,3.0,29.0,2.0,False,0.8729514971377832,18
False,3,4,67.0,55.0,2.0,85.0,5.0,False,3.2183925917388114,124
True,3,1,81.0,98.0,2.0,1.0,2.0,False,2.4180409803941623,87
False,3,1,3.0,21.0,5.0,38.0,5.0,False,0.8729514971377832,15
True,2,5,14.0,16.0,5.0,28.0,2.0,True,1.1887126902990104,98
True,1,5,88.0,64.0,3.0,41.0,1.0,False,3.3882158201227237,113
True,2,1,43.0,33.0,3.0,69.0,4.0,False,3.9168862312078163,76
True,3,4,13.0,22.0,4.0,45.0,5.0,False,0.5377486023548677,7
True,2,2,80.0,94.0,4.0,61.0,5.0,False,2.2569695536535646,75
False,3,5,5.0,55.0,4.0,41.0,5.0,False,1.3320597774883467,10
False,3,1,8.0,32.0,3.0,34.0,4.0,False,1.0403897497160108,20
True,2,5,58.0,24.0,2.0,7.0,1.0,False,4.3766472908113,138
False,3,5,5.0,55.0,4.0,35.0,5.0,False,0.40541780477036454,19
True,3,4,6.0,16.0,3.0,25.0,4.0,False,0.6785048119562258,14
False,3,1,43.0,16.0,5.0,55.0,5.0,False,2.303966813769674,69
True,3,5,99.0,52.0,1.0,17.0,2.0,False,1.340485189505202,50
False,2,2,22.0,44.0,2.0,45.0,3.0,False,4.052254783850924,20
True,3,4,66.0,71.0,1.0,43.0,2.0,False,2.355925092797108,51
False,3,3,84.0,74.0,5.0,72.0,1.0,False,3.6981424788550745,142
True,1,4,68.0,67.0,4.0,15.0,2.0,True,1.389931114526981,62
True,1,4,69.0,27.0,4.0,15.0,4.0,False,1.1126632458826848,86
False,2,2,53.0,42.0,2.0,56.0,5.0,False,5.832612453867295,28
True,2,4,83.0,94.0,1.0,55.0,5.0,False,3.2927246740847096,150
False,2,1,12.0,34.0,1.0,40.0,4.0,False,0.8294186301272037,5
True,2,4,52.0,14.0,5.0,27.0,2.0,False,2.8066079611308163,144
False,2,5,5.0,22.0,2.0,33.0,2.0,False,0.6349719449456463,14
True,1,3,88.0,55.0,3.0,28.0,5.0,False,1.1913035678869888,96
True,2,4,61.0,37.0,5.0,89.0,1.0,False,2.6124876655757197,88
True,3,1,64.0,27.0,4.0,59.0,1.0,False,2.355925092797108,79
True,3,5,35.0,47.0,5.0,42.0,2.0,False,1.758119189024411,164
True,3,5,1.0,18.0,2.0,29.0,4.0,False,0.9617494277117069,9
False,3,2,20.0,51.0,2.0,56.0,3.0,False,5.300904287723598,8
False,3,2,48.0,49.0,4.0,90.0,2.0,True,2.424235320589654,53
False,3,1,81.0,86.0,2.0,9.0,3.0,False,2.6577527291390632,162
False,2,1,46.0,37.0,4.0,96.0,4.0,False,4.136282762813479,39
True,1,5,95.0,75.0,5.0,66.0,4.0,False,2.7964503525611972,71
False,3,1,53.0,31.0,3.0,98.0,3.0,False,5.295516630765348,20
True,3,2,29.0,55.0,3.0,6.0,5.0,False,1.2885269104777675,172
True,1,2,15.0,43.0,5.0,52.0,3.0,False,1.3050513448850172,76
True,3,5,47.0,6.0,3.0,21.0,2.0,False,0.8209932181103486,188
False,3,1,4.0,37.0,3.0,26.0,2.0,False,0.732195287536425,14
True,3,5,43.0,28.0,1.0,57.0,5.0,False,3.0800213579431377,166
False,1,2,44.0,30.0,2.0,60.0,3.0,False,4.76315568536873,15
True,3,4,30.0,64.0,3.0,59.0,4.0,False,1.2267374125071733,99
False,2,2,28.0,31.0,1.0,77.0,4.0,False,5.136177400577514,24
False,1,2,55.0,47.0,4.0,55.0,5.0,False,6.0021092926247475,31
True,2,5,8.0,85.0,1.0,37.0,2.0,False,1.9069744210161637,108
False,2,5,4.0,55.0,1.0,25.0,1.0,False,1.3320597774883467,8
False,1,2,22.0,46.0,2.0,70.0,1.0,False,5.760338957700622,23
False,3,1,2.0,37.0,5.0,31.0,5.0,False,0.6349719449456463,25
True,2,1,73.0,99.0,4.0,9.0,2.0,False,4.306432380823852,105
True,2,2,53.0,33.0,2.0,75.0,3.0,False,4.78412368176089,8
False,3,5,1.0,41.0,2.0,25.0,4.0,False,1.0673981823193406,20
